Job_N,Model_FU.,Empirical_FU.,App.Cry.str.,Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_V)[GPa],Shear(G_V)[GPa],Young(E_V)[GPa],Bulk(B_R)[GPa],Shear(G_R)[GPa],Young(E_R)[GPa],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Hv:Polycrystalline,Hv:Single-crystal,F.Toughness(MPam1/2),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B],D/B:,N-Cauchy_P.[GPa],D/B:,Born's_Stability,A(U):Universal_Anisotropy,A(B):Percent_Bulk_Anisotropy,A(G):Percent_Shear_Anisotropy,A(Z):Zener_Anisotropy,A(1):Shear_Anisotropy,A(2):Shear_Anisotropy,A(3):Shear_Anisotropy,Lame's(Lammda)[GPa],Lame's(Mu)[GPa],V_trans[m/s],V_longi[m/s],V_mean[m/s],C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66
7921,C1Sc1,ScC,Cubic,4.666503,4.666503,4.666503,101.6189,3.724,-15.746454,-0.065,-6.211,12.86,687.5,160.64,89.9,227.3,160.64,83.91,214.4,160.64,86.91,220.85,10.797,10.281,13.123,2.274,1796.07,1.6993,0.271,0.541,Ductile,-10.8,Ductile,stable,0.3569,0,0.0345,0.5834,0.5834,0.5834,0.5834,102.81,86.88,4862,8672,5411,320.46,80.73,80.73,0,0,0,80.73,320.46,80.73,0,0,0,80.73,80.73,320.46,0,0,0,0,0,0,69.93,0,0,0,0,0,0,69.93,0,0,0,0,0,0,69.93,0.003473,-0.0007,-0.0007,0,0,0,-0.0007,0.003473,-0.0007,0,0,0,-0.0007,-0.0007,0.003473,0,0,0,0,0,0,0.0143,0,0,0,0,0,0,0.0143,0,0,0,0,0,0,0.0143
7922,C1Ti1,TiC,Cubic,4.328677,4.328677,4.328677,81.10836,4.905,-18.708002,-0.752,-7.509,17.17,917.6,252.37,178.76,433.85,252.37,177.81,431.97,252.37,178.28,432.91,24.303,24.607,26.92,3.932,2659.8,2.4091,0.214,0.706,Brittle,45.56,Brittle,stable,0.0267,0,0.0027,0.861,0.861,0.861,0.861,133.41,178.3,6041,10015,6679,512.4,122.36,122.36,0,0,0,122.36,512.4,122.36,0,0,0,122.36,122.36,512.4,0,0,0,0,0,0,167.92,0,0,0,0,0,0,167.92,0,0,0,0,0,0,167.92,0.00215,-0.00041,-0.00041,0,0,0,-0.00041,0.00215,-0.00041,0,0,0,-0.00041,-0.00041,0.00215,0,0,0,0,0,0,0.005955,0,0,0,0,0,0,0.005955,0,0,0,0,0,0,0.005955
7923,C1V1,VC,Cubic,4.155494,4.155494,4.155494,71.75762,5.827,-19.072853,-0.358,-7.101,17.75,948.7,318.29,211.3,519.04,318.29,204.82,505.94,318.29,208.06,512.49,24.853,24.631,31.417,4.674,3335.83,2.6094,0.232,0.654,Brittle,33.87,Brittle,stable,0.1582,0,0.0156,0.6969,0.6969,0.6969,0.6969,180.05,207.99,5978,10116,6623,662.63,146.12,146.12,0,0,0,146.12,662.63,146.12,0,0,0,146.12,146.12,662.63,0,0,0,0,0,0,179.99,0,0,0,0,0,0,179.99,0,0,0,0,0,0,179.99,0.00164,-0.0003,-0.0003,0,0,0,-0.0003,0.00164,-0.0003,0,0,0,-0.0003,-0.0003,0.00164,0,0,0,0,0,0,0.005556,0,0,0,0,0,0,0.005556,0,0,0,0,0,0,0.005556
7940,C1Zr1,ZrC,Cubic,4.694397,4.694397,4.694397,103.4521,6.628,-19.457407,-0.785,-7.96,12.99,694.5,230.73,162.66,395.13,230.73,161.23,392.3,230.73,161.94,393.72,22.558,22.925,24.453,3.731,2482.72,1.6803,0.216,0.702,Brittle,40.37,Brittle,stable,0.0443,0,0.0044,0.825,0.825,0.825,0.825,123.13,161.89,4969,8252,5495,473.05,109.57,109.57,0,0,0,109.57,473.05,109.57,0,0,0,109.57,109.57,473.05,0,0,0,0,0,0,149.94,0,0,0,0,0,0,149.94,0,0,0,0,0,0,149.94,0.002316,-0.00044,-0.00044,0,0,0,-0.00044,0.002316,-0.00044,0,0,0,-0.00044,-0.00044,0.002316,0,0,0,0,0,0,0.006669,0,0,0,0,0,0,0.006669,0,0,0,0,0,0,0.006669
8151,C1Nb1,NbC,Cubic,4.477401,4.477401,4.477401,89.75901,7.764,-20.544944,-0.481,-8.038,14.95,799.1,305.32,234.29,559.7,305.32,225.17,542.22,305.32,229.73,550.96,31.246,31.476,34.689,4.993,3487.22,2.0189,0.199,0.752,Brittle,85.16,Brittle,stable,0.2025,0,0.0198,0.6651,0.6651,0.6651,0.6651,151.9,229.76,5450,8892,6016,696.27,109.85,109.85,0,0,0,109.85,696.27,109.85,0,0,0,109.85,109.85,696.27,0,0,0,0,0,0,195.01,0,0,0,0,0,0,195.01,0,0,0,0,0,0,195.01,0.001501,-0.0002,-0.0002,0,0,0,-0.0002,0.001501,-0.0002,0,0,0,-0.0002,-0.0002,0.001501,0,0,0,0,0,0,0.005128,0,0,0,0,0,0,0.005128,0,0,0,0,0,0,0.005128
7973,C1Hf1,HfC,Cubic,4.636538,4.636538,4.636538,99.67388,12.695,-21.042942,-0.875,-8.13,9.97,532.9,246.63,179.53,433.41,246.63,177.76,429.97,246.63,178.64,431.69,25.044,25.466,26.975,4.027,2674.7,1.3033,0.208,0.724,Brittle,52.57,Brittle,stable,0.0498,0,0.005,0.816,0.816,0.816,0.816,127.28,178.68,3765,6202,4160,515.71,112.1,112.1,0,0,0,112.1,515.71,112.1,0,0,0,112.1,112.1,515.71,0,0,0,0,0,0,164.67,0,0,0,0,0,0,164.67,0,0,0,0,0,0,164.67,0.002102,-0.00038,-0.00038,0,0,0,-0.00038,0.002102,-0.00038,0,0,0,-0.00038,-0.00038,0.002102,0,0,0,0,0,0,0.006073,0,0,0,0,0,0,0.006073,0,0,0,0,0,0,0.006073
7975,C1Ta1,TaC,Cubic,4.474624,4.474624,4.474624,89.59208,14.306,-22.2004,-0.509,-8.706,10.59,566.3,328.54,214.76,529.02,328.54,206.61,512.41,328.54,210.69,520.72,24.509,24.189,31.814,4.958,3441,1.4478,0.236,0.641,Brittle,29.41,Brittle,stable,0.1972,0,0.0193,0.6684,0.6684,0.6684,0.6684,188.31,210.65,3844,6537,4260,686,149.8,149.8,0,0,0,149.8,686,149.8,0,0,0,149.8,149.8,686,0,0,0,0,0,0,179.21,0,0,0,0,0,0,179.21,0,0,0,0,0,0,179.21,0.001582,-0.00028,-0.00028,0,0,0,-0.00028,0.001582,-0.00028,0,0,0,-0.00028,-0.00028,0.001582,0,0,0,0,0,0,0.00558,0,0,0,0,0,0,0.00558,0,0,0,0,0,0,0.00558
8001,C1Sm1,SmC,Cubic,5.179659,5.179659,5.179659,138.9643,7.761,-13.426341,-0.403,-5.924,5.87,313.8,123.07,45.55,121.64,123.07,45.19,120.78,123.07,45.37,121.21,4.411,2.803,6.851,1.515,1211.52,0.7077,0.336,0.369,Ductile,-47.16,Ductile,stable,0.0398,0,0.004,0.8332,0.8332,0.8332,0.8332,92.94,45.36,2461,4951,2762,190.56,89.33,89.33,0,0,0,89.33,190.56,89.33,0,0,0,89.33,89.33,190.56,0,0,0,0,0,0,42.17,0,0,0,0,0,0,42.17,0,0,0,0,0,0,42.17,0.007489,-0.00239,-0.00239,0,0,0,-0.00239,0.007489,-0.00239,0,0,0,-0.00239,-0.00239,0.007489,0,0,0,0,0,0,0.023714,0,0,0,0,0,0,0.023714,0,0,0,0,0,0,0.023714
8119,C1Lu1,LuC,Cubic,4.892202,4.892202,4.892202,117.0882,10.607,-13.836843,-0.01,-6.17,5.29,282.6,150.34,55.25,147.67,150.34,34.2,95.38,150.34,44.73,121.53,3.424,1.482,6.754,1.616,1646.22,0.6795,0.365,0.298,Ductile,-58.25,Ductile,stable,3.0775,0,0.2353,0.2308,0.2308,0.2308,0.2308,120.36,44.52,2076,4497,2338,287.16,81.93,81.93,0,0,0,81.93,287.16,81.93,0,0,0,81.93,81.93,287.16,0,0,0,0,0,0,23.68,0,0,0,0,0,0,23.68,0,0,0,0,0,0,23.68,0.003987,-0.00089,-0.00089,0,0,0,-0.00089,0.003987,-0.00089,0,0,0,-0.00089,-0.00089,0.003987,0,0,0,0,0,0,0.04223,0,0,0,0,0,0,0.04223,0,0,0,0,0,0,0.04223
7897,C1B1,BC,Cubic,3.589819,3.589819,3.589819,46.26129,3.277,-13.082825,1.495,-5.755,27.09,1448.1,325.05,203.02,504.1,325.05,202.49,503.01,325.05,202.75,503.55,23.133,22.761,30.615,4.333,3111.83,4.6219,0.242,0.624,Brittle,13.31,Brittle,stable,0.0131,0,0.0013,0.9009,0.9009,0.9009,0.9009,190.15,202.72,7882,13507,8742,612.85,181.15,181.15,0,0,0,181.15,612.85,181.15,0,0,0,181.15,181.15,612.85,0,0,0,0,0,0,194.46,0,0,0,0,0,0,194.46,0,0,0,0,0,0,194.46,0.001886,-0.00043,-0.00043,0,0,0,-0.00043,0.001886,-0.00043,0,0,0,-0.00043,-0.00043,0.001886,0,0,0,0,0,0,0.005142,0,0,0,0,0,0,0.005142,0,0,0,0,0,0,0.005142
